iter	MultiClass
0	1.61919156
1	1.486956098
2	1.377826545
3	1.287922103
4	1.205726209
5	1.137689598
6	1.073954937
7	1.020796161
8	0.972051234
9	0.9302613703
10	0.8895203262
11	0.8508031376
12	0.8217771199
13	0.7922035277
14	0.7598208129
15	0.7333183532
16	0.7076705058
17	0.6863154611
18	0.6626386955
19	0.644498545
20	0.6253614988
21	0.6091071316
22	0.5921021262
23	0.5802691448
24	0.5682037268
25	0.554405429
26	0.5429579907
27	0.5321621458
28	0.5219849523
29	0.5139708728
30	0.5050578403
31	0.4935849204
32	0.4855858942
33	0.4754223017
34	0.4664706583
35	0.4586639787
36	0.4518873231
37	0.4426462203
38	0.4366917596
39	0.4268374961
40	0.4189412591
41	0.4124557448
42	0.4064937016
43	0.4009486537
44	0.3945519077
45	0.3896233211
46	0.3861800508
47	0.3831940282
48	0.3768489256
49	0.3714279868
50	0.3655756895
51	0.3607289401
52	0.356284824
53	0.3509873127
54	0.3470078707
55	0.3419737984
56	0.3378143891
57	0.3338904421
58	0.3299727114
59	0.3259193991
60	0.3230125199
61	0.3198315391
62	0.3182283386
63	0.3135506605
64	0.3112564913
65	0.306939198
66	0.3035198939
67	0.3015163297
68	0.297932669
69	0.2939903195
70	0.2913213703
71	0.2886958015
72	0.2848924259
73	0.281473262
74	0.2774366269
75	0.2753489432
76	0.2723639368
77	0.2695733577
78	0.2671881278
79	0.2651925176
80	0.2636183509
81	0.2616136871
82	0.2573635865
83	0.2543442024
84	0.250443665
85	0.2475859874
86	0.2453006587
87	0.2427747573
88	0.2413174796
89	0.2383989011
90	0.2368529832
91	0.234089724
92	0.2316840603
93	0.2308725756
94	0.2291470792
95	0.2280649802
96	0.2266029228
97	0.223244767
98	0.2213543544
99	0.2196177964
