iter	Passed	Remaining
0	9	961
1	18	926
2	27	900
3	36	865
4	43	824
5	51	805
6	60	808
7	70	810
8	79	804
9	87	791
10	98	796
11	107	791
12	117	784
13	126	775
14	134	764
15	142	747
16	151	738
17	159	727
18	167	714
19	177	711
20	185	697
21	195	692
22	202	678
23	211	669
24	221	663
25	230	655
26	239	648
27	248	638
28	262	642
29	272	636
30	284	633
31	296	629
32	308	626
33	319	619
34	330	613
35	339	604
36	348	592
37	357	583
38	369	577
39	377	566
40	384	553
41	393	542
42	400	531
43	409	521
44	417	509
45	425	498
46	431	486
47	439	476
48	447	465
49	454	454
50	461	443
51	469	433
52	477	423
53	484	412
54	492	402
55	499	392
56	507	382
57	515	373
58	523	363
59	531	354
60	540	345
61	548	335
62	556	326
63	563	317
64	571	307
65	579	298
66	588	289
67	595	280
68	603	271
69	611	261
70	618	252
71	626	243
72	634	234
73	642	225
74	649	216
75	657	207
76	663	198
77	671	189
78	678	180
79	686	171
80	694	162
81	703	154
82	711	145
83	719	136
84	726	128
85	734	119
86	740	110
87	748	102
88	755	93
89	762	84
90	769	76
91	777	67
92	785	59
93	792	50
94	799	42
95	807	33
96	813	25
97	821	16
98	828	8
99	836	0
